,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3324,53921575,09/01/2016,within a few hours,100%,96%,1,1,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0785993,11.5262244,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,3.0,"[""BBQ grill"", ""Outlet covers"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Hot water kettle"", ""Free parking on premises"", ""Single level home"", ""Lockbox"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Self check-in"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Hangers"", ""TV"", ""Sun loungers"", ""Pack \u2019n play/Travel crib - available upon request"", ""Iron"", ""Coffee maker: Nespresso"", ""Garden view"", ""Children's playroom"", ""Free street parking"", ""Room-darkening shades"", ""Standalone high chair - available upon request"", ""Cooking basics"", ""Hot water"", ""Electric stove"", ""Hair dryer"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Paid washer \u2013 In building"", ""Board games"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Hammock"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Clothing storage: closet and dresser""]",$189.00,2,14,2.0,14.0,t,1,4,11,11,73,30,2,27/07/2022,16/09/2024,4.88,4.84,4.86,4.99,4.96,4.95,4.79,f,1,1,0,0,2.77
3325,330987325,26/01/2020,within a day,100%,100%,1,2,"['email', 'phone']",Schwanthalerhöhe,48.13734,11.53655,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Hangers"", ""TV"", ""Hot water"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Kitchen"", ""Host greets you"", ""Wifi"", ""Shampoo""]",$500.00,2,5,2.0,5.0,t,25,55,85,360,7,4,0,20/09/2022,04/08/2024,5.0,5.0,5.0,5.0,5.0,4.86,4.71,t,1,1,0,0,0.28
3328,4486048,25/12/2012,within an hour,100%,79%,2,2,"['email', 'phone']",Pasing-Obermenzing,48.15103902,11.46502908,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Toaster"", ""Hot water kettle"", ""Stainless steel oven"", ""Single level home"", ""Children\u2019s books and toys"", ""Diverse Marken body soap"", ""Dishes and silverware"", ""Blender"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Sun loungers"", ""Free residential garage on premises \u2013 1 space"", ""Diverse Marken conditioner"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Private BBQ grill: gas"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Coffee maker: espresso machine, french press"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Barbecue utensils"", ""Private patio or balcony"", ""AEG induction stove"", ""Diverse Marken shampoo"", ""Board games"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Clothing storage: dresser""]",$174.00,1,21,1.0,21.0,t,25,55,74,349,35,14,2,12/09/2022,05/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.91,f,2,1,1,0,1.41
3329,17642051,04/07/2014,within an hour,100%,100%,1,2,"['email', 'phone', 'work_email']",Ludwigsvorstadt-Isarvorstadt,48.1294497,11.560739,Entire loft,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Cleaning products"", ""Cooking basics"", ""76 inch HDTV with Amazon Prime Video, Netflix"", ""Washer"", ""Heating"", ""Exercise equipment"", ""Free parking on premises"", ""Hair dryer"", ""Coffee maker"", ""Dryer"", ""Iron"", ""Gym"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Host greets you"", ""Refrigerator""]",$520.00,2,10,2.0,10.0,t,9,19,49,229,7,1,0,19/09/2022,04/10/2023,4.71,4.86,4.86,5.0,4.86,5.0,4.57,f,1,1,0,0,0.28
3332,20684983,29/08/2014,within an hour,98%,97%,18,21,"['email', 'phone']",Feldmoching-Hasenbergl,48.19145,11.54956,Entire rental unit,Entire home/apt,8,2.0,2 baths,5.0,5.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Hot water kettle"", ""Free parking on premises"", ""Keypad"", ""Self check-in"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Coffee maker: pour-over coffee"", ""Iron"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Electric stove"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap""]",$917.00,3,365,3.0,365.0,t,13,38,68,158,75,28,3,24/07/2022,19/09/2024,4.72,4.83,4.85,4.88,4.76,4.67,4.52,f,8,8,0,0,2.83
3335,108680955,27/12/2016,a few days or more,11%,6%,1,2,"['email', 'phone']",Pasing-Obermenzing,48.14584,11.47307,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Jean&Len body soap"", ""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Induction stove"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Portable air conditioning"", ""Coffee maker: Nespresso"", ""Freezer"", ""Free street parking"", ""Clothing storage: walk-in closet and closet"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Jean&Len shampoo"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoking allowed"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Jean&Len conditioner"", ""Private patio or balcony"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$78.00,3,15,3.0,15.0,t,0,0,24,24,5,1,0,18/09/2022,31/12/2023,5.0,4.8,4.8,5.0,5.0,4.8,5.0,f,1,1,0,0,0.2
3337,151432482,20/09/2017,within an hour,100%,99%,2,3,"['email', 'phone']",Laim,48.14163184,11.51658604,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""TV"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Bread maker"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$110.00,3,120,3.0,120.0,t,16,46,76,84,75,37,2,27/07/2022,01/09/2024,4.91,4.93,4.88,4.93,4.95,4.72,4.76,f,2,0,2,0,2.84
3338,214761589,11/09/2018,within an hour,82%,98%,5,6,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.13777,11.56334,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,8.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Air conditioning"", ""Freezer"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Extra pillows and blankets"", ""BBQ grill: charcoal"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Barbecue utensils"", ""Paid parking on premises"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$634.00,1,365,1.1,365.0,t,3,3,3,3,10,2,0,13/09/2022,30/11/2023,4.1,4.2,4.4,4.7,4.5,4.6,4.0,t,5,5,0,0,0.4
3339,469534544,14/07/2022,within a few hours,100%,54%,1,1,"['email', 'phone']",Sendling-Westpark,48.1073942,11.5087723,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Exercise equipment"", ""HDTV with Netflix"", ""Freezer"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$75.00,4,365,4.1,365.0,t,1,3,8,35,10,3,0,04/09/2022,06/06/2024,4.7,4.7,4.1,4.7,4.8,4.8,4.7,f,1,1,0,0,0.4
3343,435657,11/03/2011,within a day,100%,91%,1,1,"['email', 'phone']",Obergiesing,48.09425,11.60374,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Outlet covers"", ""Coffee maker"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Dishes and silverware"", ""Standalone high chair - always at the listing"", ""Bed linens"", ""Fast wifi \u2013 59 Mbps"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""EV charger"", ""Garden view"", ""Lock on bedroom door"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Clothing storage"", ""Baby monitor"", ""Children\u2019s dinnerware"", ""Free dryer \u2013 In unit"", ""Fire pit"", ""Essentials"", ""Indoor fireplace: gas"", ""Refrigerator"", ""Changing table"", ""Books and reading material"", ""Smoke alarm"", ""Piano"", ""Central heating"", ""Outdoor dining area"", ""Kitchen"", ""Body soap""]",$180.00,2,100,2.0,100.0,t,15,15,20,94,8,5,0,29/12/2022,07/08/2024,5.0,4.88,4.75,5.0,5.0,5.0,4.75,f,1,0,1,0,0.38
3344,48173970,04/11/2015,within an hour,100%,100%,1,1,"['email', 'phone', 'work_email']",Sendling-Westpark,48.12497044,11.51767708,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""36 inch HDTV with Amazon Prime Video, Apple TV, Fire TV, Netflix, standard cable"", ""Fast wifi \u2013 360 Mbps"", ""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Portable air conditioning"", ""Laundromat nearby"", ""Microwave"", ""Samsung  induction stove"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Alverde shampoo"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""OK refrigerator"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Alverde conditioner"", ""Essentials"", ""Coffee"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Pocket wifi"", ""Coffee maker: drip coffee maker, espresso machine, french press"", ""Alverde body soap"", ""Dining table"", ""Kitchen"", ""Exterior security cameras on property"", ""Toaster""]",$129.00,3,27,3.0,1125.0,t,5,26,56,56,91,38,3,24/07/2022,15/09/2024,4.9,4.92,4.96,4.92,4.95,4.62,4.79,f,1,1,0,0,3.43
3345,122317942,24/03/2017,within a few hours,90%,48%,2,5,"['email', 'phone']",Neuhausen-Nymphenburg,48.16136636,11.54008895,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Paid parking lot on premises"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Wifi"", ""Body soap"", ""Toaster""]",$44.00,18,365,18.0,365.0,t,6,25,55,63,1,1,1,30/08/2024,30/08/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,1.0
3350,214567691,10/09/2018,within a few hours,100%,100%,1,1,['phone'],Ludwigsvorstadt-Isarvorstadt,48.12565,11.55084,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Heating"", ""Courtyard view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Microwave"", ""Freezer"", ""Room-darkening shades"", ""55 inch HDTV with Apple TV"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$436.00,1,40,1.0,40.0,t,9,9,9,9,16,13,1,25/09/2022,31/08/2024,4.94,4.94,4.81,5.0,5.0,4.94,4.75,f,1,1,0,0,0.66
3353,9705859,29/10/2013,within a day,70%,22%,1,3,"['email', 'phone']",Au-Haidhausen,48.12235,11.5875,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""TV"", ""Free dryer"", ""Carbon monoxide alarm"", ""Heating"", ""Washer"", ""Cooking basics"", ""Free parking on premises"", ""Hair dryer"", ""Coffee maker"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Refrigerator""]",$115.00,3,365,3.0,365.0,t,0,0,0,123,4,2,1,22/08/2022,30/08/2024,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,1,1,0,0,0.16
3354,79695011,24/06/2016,within a few hours,100%,60%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.145,11.53215,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Sonos sound system"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Gas stove"", ""Shower gel"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Piano"", ""Central heating"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$144.00,4,730,4.0,730.0,t,1,11,11,11,7,2,0,01/09/2022,04/08/2024,5.0,4.86,5.0,4.86,5.0,4.43,4.71,f,1,1,0,0,0.28
3355,446752152,25/02/2022,within an hour,99%,100%,6,8,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12776,11.55687,Entire rental unit,Entire home/apt,12,1.0,1 bath,2.0,5.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Wifi \u2013 40 Mbps"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Toaster""]",$633.00,1,90,2.7,90.0,t,7,17,32,272,137,65,5,23/07/2022,20/09/2024,4.49,4.54,4.46,4.55,4.63,4.51,4.3,t,6,5,1,0,5.16
3356,29639362,19/03/2015,within an hour,100%,96%,1,2,"['email', 'phone']",Au-Haidhausen,48.12170625,11.57981602,Entire loft,Entire home/apt,2,1.5,1.5 baths,1.0,2.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Free parking on premises"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Air conditioning"", ""Coffee maker: Nespresso"", ""Freezer"", ""Waterfront"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Paid parking on premises"", ""Private patio or balcony"", ""Dining table"", ""Beach access \u2013 Beachfront"", ""Kitchen"", ""Wifi"", ""Body soap""]",$349.00,3,1125,2.0,1125.0,t,8,15,15,15,70,35,4,05/08/2022,22/09/2024,4.87,4.93,4.91,4.94,4.97,4.94,4.8,f,1,1,0,0,2.68
3359,27030643,01/02/2015,within an hour,100%,88%,1,1,"['email', 'phone']",Sendling-Westpark,48.1224,11.53203,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Paid washer \u2013 In unit"", ""Hot water kettle"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Elevator"", ""Hangers"", ""Microwave"", ""Iron"", ""Freezer"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""50 inch HDTV with Netflix"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$144.00,3,40,3.0,40.0,t,23,53,74,74,76,37,4,28/07/2022,18/09/2024,4.87,4.91,4.93,4.83,4.88,4.71,4.76,f,1,0,1,0,2.88
3360,408929283,24/06/2021,within a few hours,100%,67%,1,1,['phone'],Ludwigsvorstadt-Isarvorstadt,48.14047,11.55237,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Smoke alarm"", ""Dedicated workspace"", ""BBQ grill"", ""Heating"", ""Washer"", ""Coffee maker"", ""Pets allowed"", ""Lockbox"", ""City skyline view"", ""Courtyard view"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Wifi"", ""Backyard"", ""Refrigerator"", ""60 inch HDTV with Chromecast""]",$800.00,2,365,2.0,365.0,t,8,8,8,8,4,2,0,22/08/2022,05/10/2023,4.75,4.75,4.5,5.0,5.0,4.5,5.0,f,1,1,0,0,0.16
3361,120691044,14/03/2017,a few days or more,0%,0%,1,2,"['email', 'phone']",Obergiesing,48.11502,11.57889,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Dedicated workspace"", ""Washer"", ""First aid kit"", ""Kitchen"", ""Wifi""]",$69.00,135,730,135.0,730.0,t,13,20,43,195,1,0,0,31/08/2022,31/08/2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04
3362,470418966,19/07/2022,within an hour,100%,100%,1,1,"['email', 'phone']",Laim,48.13412,11.48585,Private room in rental unit,Private room,5,1.0,1 shared bath,2.0,5.0,"[""Smoke alarm"", ""Washer"", ""Free street parking"", ""Wifi"", ""Bed linens""]",$279.00,2,365,2.0,365.0,t,23,53,83,358,5,4,0,24/09/2023,21/06/2024,3.8,4.2,4.8,4.4,4.2,4.0,3.8,f,1,0,1,0,0.41
3363,7863990,01/08/2013,a few days or more,0%,24%,1,2,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12744359,11.55821767,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Smoke alarm"", ""Paid parking on premises"", ""Washer"", ""Kitchen"", ""Wifi""]",$300.00,2,365,2.0,365.0,t,0,0,0,232,8,3,0,19/09/2022,18/08/2024,4.88,4.88,4.75,4.88,4.88,5.0,4.75,f,1,1,0,0,0.33
3365,36461566,22/06/2015,within a day,100%,24%,3,5,"['email', 'phone']",Sendling,48.11823632,11.54454129,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Fire extinguisher"", ""Hot water"", ""Heating"", ""Hot water kettle"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$115.00,4,365,4.0,365.0,t,5,35,65,340,9,2,0,01/09/2022,31/03/2024,4.67,4.67,4.44,4.78,4.78,4.56,4.67,f,3,3,0,0,0.36
3367,470593174,20/07/2022,within a few hours,100%,93%,3,3,"['email', 'phone']",Bogenhausen,48.16001,11.6203,Entire condo,Entire home/apt,8,1.0,1 bath,2.0,4.0,"[""Hot water kettle"", ""Free parking on premises"", ""Stainless steel oven"", ""Lockbox"", ""Siemens electric stove"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Outdoor playground"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""EV charger"", ""Iron"", ""Coffee maker: Nespresso"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Housekeeping available 12 hours a day, every day - available at extra cost"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""First aid kit"", ""Clamp on table seat high chair - always at the listing"", ""Fast wifi \u2013 238 Mbps"", ""Conditioner"", ""Essentials"", ""55 inch HDTV with Amazon Prime Video, Netflix"", ""Dishwasher"", ""Coffee"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Exterior security cameras on property"", ""Body soap"", ""Toaster""]",$607.00,2,365,2.0,365.0,t,17,38,68,319,83,53,3,11/08/2022,15/09/2024,4.88,4.92,4.94,4.94,4.95,4.71,4.64,f,3,3,0,0,3.2
